,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,5%,-$1\sigma$,median,+$1\sigma$,95%
logprior_c[9],-7.99881,8.96795,-18.31928,0.20816,0.24562,0.17372,1171.63677,1631.68154,1.00139,-18.87019,-14.45556,-6.6677,-1.24925,-0.10342
logprior_c[10],-5.90578,10.88112,-14.69706,0.46924,0.35533,0.25133,1142.69894,1236.15215,1.00204,-15.26129,-10.98587,-4.2152,-0.34614,0.29342
logprior_c[11],-4.73293,15.53844,-11.67162,0.70922,0.48705,0.34449,1089.76338,1268.4703,1.00309,-12.19861,-8.2346,-2.4234,0.15706,0.62165
logprior_c[12],-4.00519,26.62801,-7.54933,1.12991,0.93605,0.66213,1122.13161,1076.82006,1.00679,-8.14432,-4.44307,-0.25397,0.86967,1.0921
logprior_c[13],-5.03207,33.55533,-6.43717,1.3171,1.2179,0.86152,1027.56316,982.07147,1.00537,-7.40261,-3.2618,0.22026,1.15686,1.29547
logprior_c[14],-7.72341,44.02354,-7.06908,1.56155,1.55571,1.10046,977.88969,986.66317,1.00349,-8.54814,-2.51848,0.5087,1.35053,1.47375
logprior_c[15],-32.6749,89.48889,-302.75396,2.03426,3.22362,2.28031,1036.83141,853.44263,1.00319,-302.98854,-7.35314,1.22346,1.77642,1.94358
logprior_c[16],-46.52498,103.64535,-303.1537,2.21139,3.92462,2.77629,887.44064,846.69103,1.00204,-303.52496,-111.2232,1.16545,1.90972,2.07674
logprob_c[0],-145.80875,13.74405,-164.91544,-121.4058,0.48129,0.34045,1043.78619,1030.02151,1.00499,-161.16337,-157.37115,-148.42197,-135.50595,-119.8124
logprob_c[1],-93.81328,17.2289,-121.02417,-62.15323,0.58288,0.41229,1043.32088,1030.02151,1.00497,-115.22046,-109.48419,-96.52002,-79.1962,-60.34497
logprob_c[2],-66.0814,16.64785,-92.85621,-33.31583,0.54892,0.38827,1044.28218,1030.02151,1.00491,-88.27111,-81.97211,-68.19411,-50.85704,-33.60297
logprob_c[3],-48.18217,15.1139,-74.21712,-18.62026,0.48683,0.34434,1042.28062,1030.02151,1.00461,-69.51858,-63.15527,-49.63485,-33.53504,-18.85267
logprob_c[4],-35.70309,13.34682,-58.40315,-8.45592,0.42019,0.29721,1066.26607,1064.34271,1.00475,-55.53438,-49.34144,-36.54173,-22.10986,-10.15267
logprob_c[5],-26.62586,11.59747,-44.04412,-1.2426,0.3576,0.25293,1081.79991,1073.34051,1.00459,-44.68975,-38.78885,-26.92192,-14.29288,-5.43653
logprob_c[6],-19.86203,9.94521,-35.45254,-0.79183,0.29995,0.21216,1112.40442,1291.85975,1.00327,-36.06502,-30.52027,-19.68511,-8.92332,-2.73111
logprob_c[7],-14.74055,8.45569,-28.51062,-0.41408,0.25011,0.1769,1157.68456,1345.07712,1.00263,-29.08538,-23.95007,-14.14979,-5.35879,-1.21327
logprob_c[8],-10.83968,7.14729,-22.86803,-0.08602,0.20887,0.14773,1193.83066,1463.1722,1.00268,-23.48676,-18.6361,-9.94208,-2.76086,-0.50748
logprob_c[9],-7.99881,8.96795,-18.31928,0.20816,0.24562,0.17372,1171.63677,1631.68154,1.00139,-18.87019,-14.45556,-6.6677,-1.24925,-0.10342
logprob_c[10],-5.90578,10.88112,-14.69706,0.46924,0.35533,0.25133,1142.69894,1236.15215,1.00204,-15.26129,-10.98587,-4.2152,-0.34614,0.29342
logprob_c[11],-4.73293,15.53844,-11.67162,0.70922,0.48705,0.34449,1089.76338,1268.4703,1.00309,-12.19861,-8.2346,-2.4234,0.15706,0.62165
logprob_c[12],-4.00519,26.62801,-7.54933,1.12991,0.93605,0.66213,1122.13161,1076.82006,1.00679,-8.14432,-4.44307,-0.25397,0.86967,1.0921
logprob_c[13],-5.03207,33.55533,-6.43717,1.3171,1.2179,0.86152,1027.56316,982.07147,1.00537,-7.40261,-3.2618,0.22026,1.15686,1.29547
logprob_c[14],-7.72341,44.02354,-7.06908,1.56155,1.55571,1.10046,977.88969,986.66317,1.00349,-8.54814,-2.51848,0.5087,1.35053,1.47375
logprob_c[15],-32.6749,89.48889,-302.75396,2.03426,3.22362,2.28031,1036.83141,853.44263,1.00319,-302.98854,-7.35314,1.22346,1.77642,1.94358
logprob_c[16],-46.52498,103.64535,-303.1537,2.21139,3.92462,2.77629,887.44064,846.69103,1.00204,-303.52496,-111.2232,1.16545,1.90972,2.07674
ecc_c,0.81636,0.04314,0.74227,0.87199,0.00154,0.00109,1042.81595,1030.02151,1.00501,0.73706,0.78651,0.82512,0.85087,0.86153
ecc_marg_c,0.81636,0.04314,0.74227,0.87199,0.00154,0.00109,1042.81595,1030.02151,1.00501,0.73706,0.78651,0.82512,0.85087,0.86153
vel_marg_c,1.01242,0.03438,0.97153,1.07829,0.00097,0.00068,1150.93401,1219.62556,1.00252,0.97966,0.98348,0.99851,1.04595,1.08253
per_marg_c,25.27772,10.06002,19.03843,39.31451,0.38529,0.27973,1041.8837,1030.02151,1.0047,19.22839,19.49292,22.11254,29.38323,41.15156
